DESCRIPTION,DATE_OF_VAC_ORDER,BLDG_TX_BORO,AKA_ADDRESS,BLDG_COMMUNITY_DIST,COUNCIL_DISTRICT,BIN,BBL,LST_COMPL_INSP_DATE,STATUS_CHANGE_DATE,OCPCY_DESC,lat,lon,Year Built,Building Age Category,Count
Dismissal,05/23/2005,BK,"648 MARCY AVENUE, BK",303.0,36.0,3049456,3017740047,07/05/2013,07/29/2013,Residential,40.6921843,-73.9488485,1910.0,1900 to 1919 (Pre-war mid),1
Dismissal,09/27/2005,BX,"1460 BRYANT AVENUE, BX",203.0,17.0,2010842,2030000004,03/05/2013,03/09/2013,Residential,40.8316974,-73.8876462,1931.0,1920 to 1939 (Pre-war late),1
Dismissal,11/30/2005,QN,"74-25 88 ROAD, QN",409.0,30.0,4182812,4088960024,08/20/2012,09/12/2012,Residential,40.6887889,-73.8664971,1920.0,1920 to 1939 (Pre-war late),1
Dismissal,12/16/2005,BK,"287 FIFTH AVENUE, BK ;287 5 AVENUE, BK",306.0,39.0,3020793,3009700006,12/12/2011,06/14/2011,Residential,40.6735985,-73.9822597,1920.0,1920 to 1939 (Pre-war late),1
Dismissal,02/13/2006,BX,"500 CONCORD AVENUE, BX",201.0,8.0,2003943,2025800004,12/12/2011,03/21/2012,Residential,40.8117808,-73.9083217,1910.0,1900 to 1919 (Pre-war mid),1
Dismissal,07/27/2006,BK,"132 WEIRFIELD STREET, BK",304.0,37.0,3078557,3034030015,02/11/2013,03/09/2013,Residential,40.6892997,-73.9125215,1920.0,1920 to 1939 (Pre-war late),1
Dismissal,09/11/2006,BX,"1272-1284 PUGLSEY AVENUE, BX ;2000-2008 WESTCHESTER AVENUE, BX ;2008 WESTCHESTER AVENUE, BX ;2000-2008 WCHESTER AVENUE, BX ;1272-1284 PUGSLEY AVENUE, BX",209.0,18.0,2026267,2038050001,02/22/2012,03/21/2012,Mercantile,40.833286,-73.8573464,1928.0,1920 to 1939 (Pre-war late),1
Dismissal,10/22/2006,BK,"160 HULL STREET, BK",316.0,37.0,3041896,3015390028,03/27/2012,04/03/2012,Residential,40.6794819,-73.90934,1910.0,1900 to 1919 (Pre-war mid),1
Rescinded,05/31/2007,MN,"79 WEST 124 STREET, MN",110.0,9.0,1083977,1017220001,12/12/2011,01/31/2012,Residential,40.8070752,-73.9454875,1900.0,1900 to 1919 (Pre-war mid),1
Dismissal,09/22/2007,BX,"595 EAST 164 STREET, BX",203.0,16.0,2004400,2026220029,01/05/2017,01/21/2016,Residential,40.82516,-73.9067243,1901.0,1900 to 1919 (Pre-war mid),1
Dismissal,11/29/2007,BK,"4611 10 AVENUE, BK",312.0,39.0,3136855,3056200007,12/12/2011,09/27/2011,Residential,40.6402892,-73.9969841,1920.0,1920 to 1939 (Pre-war late),1
Dismissal,12/27/2007,BX,"4226 EDSON AVENUE, BX",212.0,12.0,2069085,2050190050,04/02/2015,04/20/2015,Residential,40.8961712,-73.8455861,1935.0,1920 to 1939 (Pre-war late),1
Dismissal,03/06/2008,BX,"1182 JACKSON AVENUE, BX",203.0,17.0,2004661,2026520026,03/23/2012,04/13/2012,Residential,40.8291663,-73.9022561,1920.0,1920 to 1939 (Pre-war late),1
Dismissal,05/19/2008,BX,"1234 INTERVALE AVENUE, BX",203.0,17.0,2010459,2029740009,02/26/2013,,Residential,40.8288656,-73.89426,1925.0,1920 to 1939 (Pre-war late),1
Dismissal,05/31/2008,BX,"1556 PARKER STREET, BX",210.0,18.0,2041683,2039720043,10/05/2015,,Residential,40.8383599,-73.8500317,1901.0,1900 to 1919 (Pre-war mid),1
Dismissal,06/22/2008,BX,"2068 ARTHUR AVENUE, BX",206.0,15.0,2012005,2030690062,02/07/2013,03/09/2013,Residential,40.8485374,-73.8917383,1901.0,1900 to 1919 (Pre-war mid),1
Dismissal,06/24/2008,QN,"88-59 75 STREET, QN",409.0,30.0,4182955,4089000041,02/16/2012,03/09/2012,Residential,40.687643,-73.8653636,1910.0,1900 to 1919 (Pre-war mid),1
Dismissal,06/24/2008,QN,"99-15 BEACH 98 STREET, QN ;2-08  BEACH 98 STREET, QN ; BEACH 98 STREET, QN ;97-12-97-20 ROCKAWAY BEACH BOULEVARD, QN",414.0,32.0,4454206,4161530001,03/19/2012,03/21/2012,Residential,40.584837,-73.819441,1930.0,1920 to 1939 (Pre-war late),1
Dismissal,10/21/2008,QN,"94-19 110 STREET, QN",409.0,28.0,4197452,4093960045,02/14/2012,03/21/2012,Residential,40.691235,-73.835167,1920.0,1920 to 1939 (Pre-war late),1
Dismissal,11/06/2008,BK,"1363 EAST 53 STREET, BK",318.0,46.0,3390924,3078330032,03/16/2012,03/30/2012,Residential,40.6253381,-73.9243204,2006.0,Post 2000,1
Dismissal,11/10/2008,BX,"2333 BEAUMONT AVENUE, BX ;2333 BEAUMONT AVE, BX",206.0,15.0,2012525,2030890049,01/23/2012,03/05/2012,Residential,40.8532135,-73.8852169,1931.0,1920 to 1939 (Pre-war late),1
Dismissal,01/02/2009,BK,"1198 HALSEY STREET, BK",304.0,37.0,3078843,3034110034,05/15/2012,05/19/2012,Residential,40.6911418,-73.9095478,1925.0,1920 to 1939 (Pre-war late),1
Dismissal,01/12/2009,BX,"1328 TAYLOR AVENUE, BX",209.0,18.0,2027937,2038780019,01/23/2012,03/21/2012,Residential,40.833076,-73.8653367,1910.0,1900 to 1919 (Pre-war mid),1
Dismissal,01/20/2009,BK,"209 TAAFFE PLACE, BK",303.0,33.0,3055139,3019250022,12/26/2011,12/14/2011,Residential,40.6920486,-73.9594972,1905.0,1900 to 1919 (Pre-war mid),1
Dismissal,01/30/2009,QN,"144-68 227 STREET, QN ;145-44-146-02 228 STREET, QN ;145-68 228TH STREET, QN",413.0,31.0,4286790,4134750016,03/12/2012,03/21/2012,Storage,40.6605056,-73.7529958,2012.0,Post 2000,1
Dismissal,02/22/2009,BK,"674 EAST 81 STREET, BK",318.0,46.0,3223669,3079850073,08/02/2012,08/10/2012,Residential,40.6376858,-73.914769,1960.0,1960 to 1979,1
Dismissal,03/17/2009,BX,"1420 CROTONA AVENUE, BX",203.0,16.0,2009823,2029370032,10/23/2017,02/21/2018,Residential,40.8341826,-73.8977966,1901.0,1900 to 1919 (Pre-war mid),1
Dismissal,04/10/2009,BK,"1766 BROADWAY, BK",316.0,37.0,3041184,3015170018,02/02/2012,02/22/2012,Residential,40.6824002,-73.9101004,1925.0,1920 to 1939 (Pre-war late),1
Dismissal,05/25/2009,BK,"34 VERNON AVENUE, BK",303.0,36.0,3048753,3017580027,12/26/2011,04/25/2012,Residential,40.694219,-73.9506608,1905.0,1900 to 1919 (Pre-war mid),1
Dismissal,06/09/2009,BX,"400 EAST 154 STREET, BX ;680 MELROSE AVENUE, BX",201.0,17.0,2001366,2023750006,03/13/2012,03/21/2012,Residential,40.8192908,-73.9161225,1904.0,1900 to 1919 (Pre-war mid),1
Dismissal,06/22/2009,BK,"331 PULASKI STREET, BK",303.0,36.0,3043094,3015940054,04/05/2012,04/25/2012,Residential,40.6939109,-73.9378304,1899.0,Pre 1900,1
Rescinded,07/03/2009,BX,"414 EAST 140 STREET, BX",201.0,8.0,2000289,2022840015,09/11/2014,,Residential,40.8099103,-73.9213687,1889.0,Pre 1900,1
Dismissal,10/16/2009,BK,"47-55 NEWPORT STREET, BK ;2253 STRAUSS STREET, BK",316.0,42.0,3082249,3035970006,02/06/2012,03/02/2012,Residential,40.6588141,-73.9134878,1930.0,1920 to 1939 (Pre-war late),1
Dismissal,10/23/2009,BK,"34 ROCHESTER AVENUE, BK",303.0,36.0,3048156,3017080048,07/25/2012,07/25/2012,Residential,40.6780347,-73.9277685,1901.0,1900 to 1919 (Pre-war mid),1
Dismissal,10/29/2009,BX,"2321 PROSPECT AVENUE, BX",206.0,15.0,2012859,2031020085,01/19/2012,03/05/2012,Residential,40.852224,-73.8837474,1910.0,1900 to 1919 (Pre-war mid),1
Dismissal,11/13/2009,BX,"1514-1516 EAST 172 STREET, BX",209.0,17.0,2025130,2037720038,02/22/2012,03/21/2012,Residential,40.8308717,-73.879958,1924.0,1920 to 1939 (Pre-war late),1
Dismissal,12/09/2009,BX,"1253 MORRISON AVENUE, BX",209.0,18.0,2025373,2037770047,02/22/2012,03/21/2012,Residential,40.831111,-73.8752852,1927.0,1920 to 1939 (Pre-war late),1
Dismissal,12/10/2009,BX,"1732 WHITE PLAINS ROAD, BX",211.0,15.0,2043070,2040330042,02/15/2013,03/09/2013,Residential,40.844799,-73.8656057,1920.0,1920 to 1939 (Pre-war late),1
Dismissal,12/21/2009,BK,"20 BELVIDERE STREET, BK ;20 BELVEDERE STREET, BK",304.0,34.0,3071791,3031360015,06/04/2012,07/09/2012,Residential,40.6985681,-73.9367009,1920.0,1920 to 1939 (Pre-war late),1
